2026-01-29 15:30:49,968 - INFO - Login Successfull
2026-01-29 15:41:31,738 - INFO - Login Successfull
2026-01-29 15:41:31,739 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST'}
2026-01-29 15:51:07,956 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.0905146598815918}
2026-01-29 15:51:26,426 - INFO - {'path': '/api/1.0.1/auth/me', 'method': 'GET', 'latency': 0.005222797393798828}
2026-01-31 13:07:48,700 - INFO - {'path': '/', 'method': 'GET', 'latency': 0.0010099411010742188}
2026-01-31 13:07:48,744 - INFO - {'path': '/favicon.ico', 'method': 'GET', 'latency': 0.0005185604095458984}
2026-01-31 13:07:51,987 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0}
2026-01-31 13:07:52,216 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.013748884201049805}
2026-01-31 13:07:55,373 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.0}
2026-02-10 11:43:08,504 - INFO - {'path': '/', 'method': 'GET', 'latency': 0.0}
2026-02-10 11:43:08,542 - INFO - {'path': '/favicon.ico', 'method': 'GET', 'latency': 0.0010075569152832031}
2026-02-10 11:43:11,556 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0}
2026-02-10 11:43:11,782 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.00890493392944336}
2026-02-10 11:43:56,512 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.13865971565246582}
2026-02-10 11:44:26,277 - INFO - {'path': '/api/1.0.1/auth/All', 'method': 'GET', 'latency': 0.005852460861206055}
2026-02-10 11:48:27,409 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.35716843605041504}
2026-02-10 11:49:12,542 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.0018701553344726562}
2026-02-10 11:50:02,402 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.05443286895751953}
2026-02-10 11:51:12,360 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0006115436553955078}
2026-02-10 11:51:12,540 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.007471561431884766}
2026-02-10 11:52:48,384 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.1949763298034668}
2026-02-10 11:54:04,861 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.08197522163391113}
2026-02-10 11:55:24,651 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.05798602104187012}
2026-02-10 11:57:10,727 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.08287525177001953}
2026-02-10 12:04:06,358 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.08741950988769531}
2026-02-10 12:04:24,512 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.006415128707885742}
2026-02-10 12:04:24,539 - INFO - {'path': '/favicon.ico', 'method': 'GET', 'latency': 0.0}
2026-02-10 12:04:36,753 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.05026125907897949}
2026-02-10 12:04:40,898 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0007984638214111328}
2026-02-10 12:04:41,051 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.0}
2026-02-10 12:15:04,098 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.07434916496276855}
2026-02-10 12:15:30,062 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.00551152229309082}
2026-02-10 12:16:07,775 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.05720353126525879}
2026-02-10 12:16:23,303 - INFO - {'path': '/api/1.0.1/auth/All', 'method': 'GET', 'latency': 0.0069620609283447266}
2026-02-10 12:23:14,099 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0}
2026-02-10 12:23:14,260 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.009389877319335938}
2026-02-10 12:23:44,124 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.061162471771240234}
2026-02-10 12:23:59,759 - INFO - {'path': '/api/1.0.1/auth/All', 'method': 'GET', 'latency': 0.009138822555541992}
2026-02-10 12:26:36,965 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.13131308555603027}
2026-02-10 12:26:59,527 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.0005815029144287109}
2026-02-10 12:27:26,569 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.0006117820739746094}
2026-02-10 12:27:38,483 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0}
2026-02-10 12:27:38,627 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.0005171298980712891}
2026-02-10 12:29:33,647 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.07732200622558594}
2026-02-10 12:29:44,185 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.0008881092071533203}
2026-02-10 12:32:08,772 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.1271817684173584}
2026-02-10 12:32:29,974 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.007892847061157227}
2026-02-10 12:33:57,666 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.11210417747497559}
2026-02-10 12:34:17,349 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.006236553192138672}
2026-02-10 12:39:07,096 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.001005411148071289}
2026-02-10 12:39:07,220 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.00911855697631836}
2026-02-10 12:39:45,657 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.14195537567138672}
2026-02-10 12:39:56,247 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.0010025501251220703}
2026-02-10 12:43:56,742 - INFO - {'path': '/api/1.0.1/auth/sign_up', 'method': 'POST', 'latency': 0.16919708251953125}
2026-02-10 12:44:07,491 - INFO - {'path': '/api/1.0.1/auth/verify', 'method': 'GET', 'latency': 0.009690046310424805}
2026-02-10 18:03:18,305 - INFO - {'path': '/', 'method': 'GET', 'latency': 0.0010013580322265625}
2026-02-10 18:03:18,335 - INFO - {'path': '/favicon.ico', 'method': 'GET', 'latency': 0.0}
2026-02-10 18:03:23,347 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0}
2026-02-10 18:03:23,460 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.015785694122314453}
2026-02-10 18:04:42,210 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0009999275207519531}
2026-02-10 18:04:42,359 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.03429841995239258}
2026-02-10 18:05:33,364 - INFO - {'path': '/docs', 'method': 'GET', 'latency': 0.0}
2026-02-10 18:05:33,419 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.01564645767211914}
2026-02-10 18:05:59,546 - INFO - {'path': '/api/1.0.1/auth/login', 'method': 'POST', 'latency': 0.11223459243774414}
2026-02-10 18:06:36,963 - INFO - {'path': '/api/1.0.1/notes/', 'method': 'POST', 'latency': 0.022237300872802734}
2026-02-10 18:06:52,948 - INFO - {'path': '/api/1.0.1/notes/', 'method': 'POST', 'latency': 0.009199142456054688}
2026-02-10 19:59:51,834 - INFO - {'path': '/', 'method': 'GET', 'latency': 0.0}
2026-02-10 19:59:51,867 - INFO - {'path': '/favicon.ico', 'method': 'GET', 'latency': 0.0010061264038085938}
2026-02-10 19:59:59,368 - INFO - {'path': '/redoc', 'method': 'GET', 'latency': 0.0}
2026-02-10 19:59:59,693 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.008763313293457031}
2026-02-10 20:01:11,760 - INFO - {'path': '/openapi.json', 'method': 'GET', 'latency': 0.0}
